,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-09-28 21:45:41,2021-09-27,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$10.21,-28567,9114155,0%,"-$291,696",,,,,OTRK
1,M,2021-09-24 21:45:30,2021-09-22,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$9.97,-45000,9142722,0%,"-$448,824",,,,,OTRK
2,M,2021-09-21 21:45:42,2021-09-17,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$10.63,-45000,9187722,0%,"-$478,439",,,,,OTRK
3,M,2021-09-16 21:45:38,2021-09-14,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$10.69,-45000,9232722,0%,"-$481,221",,,,,OTRK
4,M,2021-09-13 21:45:49,2021-09-09,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$11.28,-45000,9277722,0%,"-$507,510",,,,,OTRK
5,M,2021-09-08 21:51:59,2021-09-03,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$11.69,-45000,9322722,0%,"-$526,215",,,,,OTRK
6,M,2021-09-02 21:46:10,2021-08-31,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$12.10,-45000,9367722,0%,"-$544,398",,,,,OTRK
7,M,2021-08-31 21:45:38,2021-08-27,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$11.69,-30000,9412722,0%,"-$350,738",,,,,OTRK
8,M,2021-08-26 21:45:45,2021-08-24,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$11.33,-45000,9442722,0%,"-$509,854",,,,,OTRK
9,M,2021-08-23 21:45:43,2021-08-19,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$11.70,-45000,9487722,0%,"-$526,467",,,,,OTRK
10,M,2021-08-18 21:45:57,2021-08-16,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$21.98,-45000,9532722,0%,"-$988,876",,,,,OTRK
11,D,2021-08-13 21:46:07,2021-08-11,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale+OE,$27.12,-99693,9577722,-1%,"-$2,703,525",,,,,OTRK
12,,2021-07-20 21:45:53,2021-07-20,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$27.93,-7063,9114155,0%,"-$197,285",,,,,OTRK
13,M,2021-07-19 21:47:01,2021-07-14,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$28.07,-33000,9121218,0%,"-$926,149",,,,,OTRK
14,M,2021-07-14 21:45:25,2021-07-12,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$29.94,-33000,9154218,0%,"-$987,971",,,,,OTRK
15,M,2021-07-09 21:45:48,2021-07-07,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$30.96,-33000,9187218,0%,"-$1,021,721",,,,,OTRK
16,M,2021-07-06 21:45:47,2021-07-01,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$31.84,-33000,9220218,0%,"-$1,050,780",,,,,OTRK
17,M,2021-06-30 21:45:28,2021-06-28,OTRK,Peizer Terren S,"Exec COB, 10%",S - Sale,$33.75,-33000,9253218,0%,"-$1,113,779",,,,,OTRK
