,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-05-27 12:33:30,2021-05-25,LIN,Lamba Sanjiv,COO,S - Sale+OE,$302.13,-21,29254,0%,"-$6,345",,,,,LIN
1,D,2021-03-01 16:11:20,2021-02-26,LIN,Fehrenbach Franz,Dir,P - Purchase,$245.94,493,3606,+16%,"+$121,248",,,,,LIN
2,D,2021-02-16 16:28:10,2021-02-12,LIN,Hoyt Kelcey E,Principal Accounting Officer,S - Sale+OE,$251.66,-2559,4599,-36%,"-$643,991",,,,,LIN
3,D,2020-11-12 09:39:31,2020-11-09,LIN,Menezes Eduardo F,EVP EMEA Gases,S - Sale+OE,$263.12,-23256,70307,-25%,"-$6,119,174",,,,,LIN
4,D,2020-11-12 09:36:44,2020-11-09,LIN,Angel Stephen F,CEO,S - Sale+OE,$262.91,-56000,362700,-13%,"-$14,722,960",,,,,LIN
5,D,2020-08-21 14:56:13,2020-08-19,LIN,Opfermann Andreas,"EVP, Americas",S - Sale+OE,$247.70,-5,498,-1%,"-$1,239",,,,,LIN
6,D,2020-08-07 12:56:56,2020-08-06,LIN,Nowicki Juergen,"EVP, Engineering",S - Sale+OE,$245.53,-7,1817,0%,"-$1,719",,,,,LIN
7,D,2020-06-04 14:34:49,2020-06-03,LIN,Roby Anne K,EVP,S - Sale+OE,$211.97,-6671,33002,-17%,"-$1,414,052",,,,,LIN
8,D,2020-05-19 11:04:23,2020-05-18,LIN,Lamba Sanjiv,EVP APAC Gases,S - Sale+OE,$191.97,-862,25721,-3%,"-$165,474",,,,,LIN
9,D,2020-03-19 15:26:10,2020-03-13,LIN,Enders Thomas,Dir,P - Purchase,$160.31,3400,10578,+47%,"+$545,054",,,,,LIN
10,D,2020-03-17 16:48:05,2020-03-16,LIN,Angel Stephen F,CEO,P - Purchase,$152.47,2000,306594,+1%,"+$304,940",,,,,LIN
11,D,2020-03-17 16:44:13,2020-03-17,LIN,Fehrenbach Franz,Dir,P - Purchase,$158.72,1400,3113,+82%,"+$222,208",,,,,LIN
12,D,2020-03-13 11:12:29,2020-03-12,LIN,Bruch Christian,EVP Engineering,S - Sale+OE,$162.99,-336,10293,-3%,"-$54,765",,,,,LIN
13,D,2020-03-12 15:59:05,2020-03-12,LIN,Angel Stephen F,CEO,P - Purchase,$162.40,2000,304594,+1%,"+$324,800",,,,,LIN
14,D,2020-03-09 14:28:27,2020-03-09,LIN,Angel Stephen F,CEO,P - Purchase,$175.93,3000,302410,+1%,"+$527,781",,,,,LIN
15,D,2020-02-20 17:03:32,2020-02-18,LIN,White Matthew J,CFO,S - Sale+OE,$223.90,-11821,26206,-31%,"-$2,646,769",,,,,LIN
16,D,2019-12-23 14:43:32,2019-12-20,LIN,Roby Anne K,EVP,S - Sale+OE,$212.17,-2402,28847,-8%,"-$509,632",,,,,LIN
17,D,2019-11-20 16:12:27,2019-11-19,LIN,Roby Anne K,EVP,S - Sale+OE,$209.51,-2355,28840,-8%,"-$493,398",,,,,LIN
18,D,2019-11-19 15:50:05,2019-11-18,LIN,Roby Anne K,EVP,S - Sale+OE,$209.71,-1583,28840,-5%,"-$331,964",,,,,LIN
19,D,2019-08-16 15:54:51,2019-08-15,LIN,Eulitz Bernd Hugo,EVP Americas Gases,S - Sale+OE,$186.43,-335,10904,-3%,"-$62,454",,,,,LIN
20,D,2019-06-10 17:12:56,2019-06-06,LIN,Angel Stephen F,CEO,S - Sale+OE,$197.27,-56574,299201,-16%,"-$11,160,353",,,,,LIN
21,D,2019-05-21 12:35:22,2019-05-17,LIN,Menezes Eduardo F,EVP EMEA Gases,S - Sale+OE,$188.23,-19056,40928,-32%,"-$3,586,911",,,,,LIN
22,D,2019-05-17 10:22:59,2019-05-15,LIN,Lamba Sanjiv,EVP APAC Gases,P - Purchase,$179.21,1900,25579,+8%,"+$340,499",,,,,LIN
23,D,2019-05-17 10:21:33,2019-05-15,LIN,Eulitz Bernd Hugo,EVP Americas Gases,P - Purchase,$179.21,1496,10542,+17%,"+$268,098",,,,,LIN
24,D,2019-05-17 10:20:35,2019-05-15,LIN,Bruch Christian,EVP Engineering,P - Purchase,$179.21,1474,9932,+17%,"+$264,156",,,,,LIN
25,D,2019-04-10 10:39:09,2019-04-08,LIN,Angel Stephen F,CEO,S - Sale+OE,$184.46,-54994,299171,-16%,"-$10,144,193",,,,,LIN
26,D,2019-04-08 14:09:22,2019-04-05,LIN,White Matthew J,CFO,S - Sale+OE,$185.01,-7773,26145,-23%,"-$1,438,094",,,,,LIN
27,D,2019-03-27 13:57:12,2019-03-22,LIN,Enders Thomas,Dir,P - Purchase,$172.16,6600,6600,New,"+$1,136,256",,,,,LIN
