,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-01 20:08:04,2021-11-29,SMFR,Ro Isaac,CFO,S - Sale,$6.63,-12115,115021,-10%,"-$80,322",,,,,SMFR
1,D,2021-11-15 17:35:59,2021-11-10,SMFR,Assad Shawn,Chief Accounting Officer,S - Sale+OE,$7.87,-3114,17800,-15%,"-$24,507",,,,,SMFR
2,D,2021-11-10 18:54:25,2021-11-08,SMFR,Ro Isaac,CFO,S - Sale+OE,$8.49,-19516,127136,-13%,"-$165,695",,,,,SMFR
3,D,2021-11-02 20:26:01,2021-10-25,SMFR,Prentice Anthony,Chief Product Officer,S - Sale+OE,$8.09,-1620,2320,-41%,"-$13,106",,,,,SMFR
4,D,2021-11-02 20:24:44,2021-10-25,SMFR,White Karen Ann,Chief People Officer,S - Sale+OE,$7.54,-1482,3021,-33%,"-$11,174",,,,,SMFR
5,D,2021-11-02 20:23:40,2021-10-25,SMFR,Saad Kareem,Chief Business Officer,S - Sale+OE,$7.54,-16608,37434,-31%,"-$125,224",,,,,SMFR
6,D,2021-11-02 20:22:42,2021-10-25,SMFR,Coffin James,"Pres, COO",S - Sale+OE,$7.54,-5752,16765,-26%,"-$43,370",,,,,SMFR
7,D,2021-11-02 20:21:23,2021-10-25,SMFR,Ro Isaac,CFO,S - Sale+OE,$7.54,-40848,84152,-33%,"-$307,994",,,,,SMFR
8,D,2021-11-02 20:19:39,2021-10-25,SMFR,Schadt Eric,CEO,S - Sale+OE,$7.54,-33332,45480,-42%,"-$251,323",,,,,SMFR
9,D,2021-11-02 20:11:46,2021-10-25,SMFR,Clark Daniel Emmett,"Secretary, GC",S - Sale+OE,$7.54,-1256,2684,-32%,"-$9,470",,,,,SMFR
